id,year,value,type,value.eu,value.top3,value.inno,value.us,value.cn,value.jp,value.kr
AI,2021,8.8,v,7.7111,17.6,14.6,,,,
AI,2022,9.8,v,7.9648,16.233,14.09,,,,
AI,2023,10.8,v,8.2185,14.9,13.58,,,,
Abgabenquote,2000,42.285,v,37.146,15.288,44.684,28.295,,,20.916
Abgabenquote,2001,43.886,v,36.371,16.142,43.092,27.261,,25.341,21.201
Abgabenquote,2002,42.697,v,36.245,16.234,42.547,25.011,,25.534,21.312
Abgabenquote,2003,42.409,v,36.05,16.197,42.319,24.484,,24.504,21.991
Abgabenquote,2004,41.958,v,35.988,16.213,42.473,24.762,,24.136,21.177
Abgabenquote,2005,41.012,v,36.339,16.819,43.143,26.097,,24.76,21.656
Abgabenquote,2006,40.408,v,36.319,17.634,42.744,26.775,,25.827,22.632
Abgabenquote,2007,40.548,v,36.477,18.053,42.268,26.728,,26.618,23.73
Abgabenquote,2008,41.391,v,36.056,17.678,41.872,25.643,,27.159,23.583
Abgabenquote,2009,40.98,v,35.646,16.239,41.414,22.911,,27.049,22.703
Abgabenquote,2010,40.958,v,35.487,16.885,41.347,23.371,,25.686,22.378
Abgabenquote,2011,41.119,v,35.761,17.634,41.5,23.761,,26.241,23.177
Abgabenquote,2012,41.767,v,36.377,17.898,41.994,23.916,,27.132,23.702
Abgabenquote,2013,42.635,v,36.834,17.756,42.587,25.481,,27.952,23.143
Abgabenquote,2014,42.699,v,37.058,17.648,43.204,25.883,,28.557,23.381
Abgabenquote,2015,43.126,v,36.855,18.772,42.666,26.22,,29.973,23.737
Abgabenquote,2016,41.753,v,37.211,18.637,43.001,25.876,,30.242,24.745
Abgabenquote,2017,41.871,v,37.261,18.429,42.985,26.66,,30.279,25.357
Abgabenquote,2018,42.261,v,37.477,18.897,42.592,24.991,,30.916,26.686
Abgabenquote,2019,42.615,v,37.486,19.008,42.735,25.128,,31.544,27.227
Abgabenquote,2020,42.086,v,37.468,18.595,42.76,25.734,,31.508,27.745
Abgabenquote,2021,43.284,v,37.784,19.064,42.992,26.498,,32.966,29.761
Abgabenquote,2022,43.101,v,37.358,19.148,41.329,27.656,,34.075,31.976
Arbeitslosenquote,2000,4.7,v,9.0654,2.4,6.08,,,,
Arbeitslosenquote,2001,4,v,8.7154,1.9333,5.5,,,,
Arbeitslosenquote,2002,4.9,v,8.8481,2.7,5.84,,,,
Arbeitslosenquote,2003,4.8,v,8.8444,3.7667,6.56,,,,
Arbeitslosenquote,2004,5.8,v,8.9111,4.2,6.88,,,,
Arbeitslosenquote,2005,5.6,v,8.4481,3.7667,7.02,,,,
Arbeitslosenquote,2006,5.3,v,7.5148,3.3667,6.4,,,,
Arbeitslosenquote,2007,4.9,v,6.5444,2.8333,5.72,,,,
Arbeitslosenquote,2008,4.1,v,6.4074,2.9333,5.4,,,,
Arbeitslosenquote,2009,5.3,v,8.9815,3.8667,7.06,,,,
Arbeitslosenquote,2010,4.8,v,10.215,4.375,7.6,,,,
Arbeitslosenquote,2011,4.6,v,10.196,4.0667,7.12,,,,
Arbeitslosenquote,2012,4.9,v,10.948,4.1667,7.38,,,,
Arbeitslosenquote,2013,5.4,v,11.307,4.4667,7.88,,,,
Arbeitslosenquote,2014,5.6,v,10.663,4.4333,7.9,,,,
Arbeitslosenquote,2015,5.7,v,9.8259,4.3,7.7,,,,
Arbeitslosenquote,2016,6,v,8.8259,3.7,7.12,,,,
Arbeitslosenquote,2017,5.5,v,7.7259,3.1333,6.62,,,,
Arbeitslosenquote,2018,4.9,v,6.6704,2.7667,5.74,,,,
Arbeitslosenquote,2019,4.5,v,6.0481,2.8,5.46,,,,
Arbeitslosenquote,2020,5.4,v,6.8074,3.2,6.22,,,,
Arbeitslosenquote,2021,6.2,v,6.6407,3.2,6.42,,,,
Arbeitslosenquote,2022,4.8,v,5.7704,2.6667,5.58,,,,
Ausgaben_Primar_KKS,2012,7494.6,v,5557.1,11656,7254.5,,,,
Ausgaben_Primar_KKS,2013,8047.8,v,5508.6,11324,7320,,,,
Ausgaben_Primar_KKS,2014,8128,v,5549.7,11945,7361.1,,,,
Ausgaben_Primar_KKS,2015,8696.3,v,5741.1,12200,7466.8,,,,
Ausgaben_Primar_KKS,2016,8805.9,v,5662.9,11042,7315.2,,,,
Ausgaben_Primar_KKS,2017,8777.2,v,5854,11428,7448.1,,,,
Ausgaben_Primar_KKS,2018,8912.8,v,6070.3,11879,7690.8,,,,
Ausgaben_Primar_KKS,2019,8737.7,v,6487.1,12415,7925.7,,,,
Ausgaben_Primar_KKS,2020,8908.4,v,6743.2,12314,8220,,,,
Ausgaben_Sekundar_BIP,2012,2.35,v,2.0623,2.7633,2.575,,,,
Ausgaben_Sekundar_BIP,2013,2.3,v,2.1068,3.8933,2.495,,,,
Ausgaben_Sekundar_BIP,2014,2.22,v,1.9554,2.84,2.568,,,,
Ausgaben_Sekundar_BIP,2015,2.21,v,1.8875,2.6733,2.455,,,,
Ausgaben_Sekundar_BIP,2016,2.18,v,1.8488,2.5933,2.342,,,,
Ausgaben_Sekundar_BIP,2017,2.11,v,1.7996,2.46,2.258,,,,
Ausgaben_Sekundar_BIP,2018,2.01,v,1.8092,2.41,2.262,,,,
Ausgaben_Sekundar_BIP,2019,1.9,v,1.8127,2.3967,2.228,,,,
Ausgaben_Sekundar_BIP,2020,2.06,v,1.9315,2.55,2.364,,,,
Ausgaben_Sekundar_KKS,2012,21474,v,13535,23468,18129,,,,
Ausgaben_Sekundar_KKS,2013,22178,v,13046,23099,18293,,,,
Ausgaben_Sekundar_KKS,2014,22139,v,13635,25446,18671,,,,
Ausgaben_Sekundar_KKS,2015,23162,v,13952,25707,18609,,,,
Ausgaben_Sekundar_KKS,2016,23569,v,14199,25980,18251,,,,
Ausgaben_Sekundar_KKS,2017,23164,v,14330,25831,18398,,,,
Ausgaben_Sekundar_KKS,2018,23037,v,15006,26535,19022,,,,
Ausgaben_Sekundar_KKS,2019,22232,v,15580,27229,19281,,,,
Ausgaben_Sekundar_KKS,2020,22499,v,15785,27307,19836,,,,
Ausgaben_VS_BIP,2012,0.88,v,1.2867,2.2767,1.662,,,,
Ausgaben_VS_BIP,2013,0.91,v,1.3,2.2533,1.606,,,,
Ausgaben_VS_BIP,2014,0.9,v,1.2085,2.1333,1.594,,,,
Ausgaben_VS_BIP,2015,0.92,v,1.1929,2.0583,1.571,,,,
Ausgaben_VS_BIP,2016,0.91,v,1.1844,2.0133,1.534,,,,
Ausgaben_VS_BIP,2017,0.91,v,1.1693,1.99,1.512,,,,
Ausgaben_VS_BIP,2018,0.89,v,1.173,2.0333,1.516,,,,
Ausgaben_VS_BIP,2019,0.86,v,1.1904,2.0233,1.516,,,,
Ausgaben_VS_BIP,2020,0.95,v,1.2707,2.17,1.606,,,,
Ausgaben_prim_sek_BIP,2012,3.1235,v,3.238,4.5878,4.0479,3.6081,,2.8142,
Ausgaben_prim_sek_BIP,2013,3.2045,v,3.2321,4.7377,4.0425,3.5104,,2.7502,
Ausgaben_prim_sek_BIP,2014,3.1212,v,3.208,4.7148,4.0399,3.4779,,2.7906,
Ausgaben_prim_sek_BIP,2015,3.124,v,3.1048,4.5031,3.9512,3.4936,,2.7375,3.5452
Ausgaben_prim_sek_BIP,2016,3.131,v,3.051,4.4923,3.8742,3.5344,,2.6244,3.4454
Ausgaben_prim_sek_BIP,2017,3.0713,v,3.0263,4.6014,3.8084,3.5561,,2.5889,3.4711
Ausgaben_prim_sek_BIP,2018,2.9566,v,3.0425,4.6643,3.8176,3.5113,,2.5449,3.5315
Ausgaben_prim_sek_BIP,2019,2.9295,v,3.0804,4.6091,3.8054,3.5074,,2.5869,3.7436
Ausgaben_prim_sek_BIP,2020,3.0872,v,3.2414,5.2118,3.9605,3.5746,,2.6804,3.5152
Ausgaben_prim_sek_studi,2012,12481,v,8132,15311,10689,11731,,9563.8,
Ausgaben_prim_sek_studi,2013,13393,v,8410.5,16672,11104,11868,,9801.8,
Ausgaben_prim_sek_studi,2014,13454,v,8671,16467,11284,12163,,9950.8,
Ausgaben_prim_sek_studi,2015,13935,v,8744.8,16235,11388,12595,,10100,11204
Ausgaben_prim_sek_studi,2016,14914,v,9015,16394,11650,13022,,9866.5,11813
Ausgaben_prim_sek_studi,2017,15006,v,9421.8,17088,12025,13511,,9988.8,12691
Ausgaben_prim_sek_studi,2018,15227,v,9966.9,17730,12571,14009,,10141,13969
Ausgaben_prim_sek_studi,2019,15820,v,10737,18768,13237,14671,,10470,15345
Ausgaben_prim_sek_studi,2020,16004,v,11123,19117,13803,15186,,11076,15148
BERD_bev,2002,0.43053,v,0.26178,0.85598,0.55143,0.70891,0.018232,0.60184,0.34241
BERD_bev,2003,0.46308,v,0.26727,0.85062,0.55476,0.67403,0.022861,0.63181,0.35379
BERD_bev,2004,0.49564,v,0.28003,0.82396,0.56985,0.69189,0.027522,0.65962,0.38287
BERD_bev,2005,0.57985,v,0.2527,0.84941,0.58144,0.7114,0.035944,0.69111,0.44541
BERD_bev,2006,0.62554,v,0.28709,0.98008,0.64555,0.7653,0.045182,0.76999,0.48836
BERD_bev,2007,0.67294,v,0.30488,0.99926,0.68548,0.83005,0.056834,0.83761,0.56481
BERD_bev,2008,0.73595,v,0.33298,1.0773,0.7629,0.89389,0.06771,0.89802,0.63656
BERD_bev,2009,0.72348,v,0.32951,1.0364,0.73809,0.95589,0.080309,0.91117,0.67457
BERD_bev,2010,0.78371,v,0.33365,1.0103,0.73695,0.92053,0.10125,0.81227,0.68953
BERD_bev,2011,0.81599,v,0.36851,1.0472,0.80095,0.90188,0.11645,0.83947,0.78713
BERD_bev,2012,0.95355,v,0.37263,1.0575,0.8022,0.94386,0.13879,0.89339,0.89474
BERD_bev,2013,1.0029,v,0.38849,1.112,0.85097,0.96296,0.16263,0.9145,1.0072
BERD_bev,2014,1.0729,v,0.39573,1.1648,0.83959,1.0205,0.18172,0.98307,1.0624
BERD_bev,2015,1.0861,v,0.40692,1.2141,0.86886,1.0702,0.1951,1.0359,1.1268
BERD_bev,2016,1.1527,v,0.43223,1.2736,0.9143,1.1452,0.20373,1.0403,1.169
BERD_bev,2017,1.157,v,0.46446,1.3697,0.97244,1.2082,0.21938,0.99324,1.2266
BERD_bev,2018,1.23,v,0.49419,1.4679,1.0267,1.2814,0.23385,1.034,1.3959
BERD_bev,2019,1.3152,v,0.54057,1.5799,1.1152,1.4009,0.25678,1.0775,1.5609
BERD_bev,2020,1.2748,v,0.55179,1.6973,1.1689,1.5485,0.28564,1.0768,1.613
BERD_bev,2021,1.3447,v,0.59362,1.8142,1.2445,1.6734,0.31669,1.0718,1.695
BERD_bev,2022,1.148,v,0.49138,1.9794,1.1577,1.8838,0.36361,1.109,1.8284
BIP_Kopf,2000,46470,v,29043,55611,43975,50170,3451.7,36323,22964
BIP_Kopf,2001,46879,v,29716,56086,44518,50150,3712.3,36376,23894
BIP_Kopf,2002,47419,v,31018,56210,44873,50529,4024.4,36306,25591
BIP_Kopf,2003,47633,v,31697,56450,45215,51498,4400.8,36785,26260
BIP_Kopf,2004,48633,v,32778,58009,46531,52989,4817.2,37576,27516
BIP_Kopf,2005,49387,v,33735,59279,47504,54332,5334.6,38251,28641
BIP_Kopf,2006,50841,v,35203,60726,49067,55308,5979.8,38751,29991
BIP_Kopf,2007,52565,v,36636,62390,50458,55886,6795.2,39281,31570
BIP_Kopf,2008,53166,v,37000,62975,50407,55427,7412.9,38781,32275
BIP_Kopf,2009,51031,v,35130,61977,47788,53515,8069.4,36578,32364
BIP_Kopf,2010,51843,v,35509,61060,48899,54510,8884.6,38070,34394
BIP_Kopf,2011,53179,v,35894,60739,49563,54954,9680.1,38150,35389
BIP_Kopf,2012,53297,v,35754,61327,49108,55797,10371,38736,36049
BIP_Kopf,2013,52998,v,35759,61635,49023,56432,11102,39570,37021
BIP_Kopf,2014,52933,v,36287,62357,49444,57302,11851,39740,37967
BIP_Kopf,2015,52874,v,37132,63018,50265,58421,12612,40403,38829
BIP_Kopf,2016,53346,v,38046,63474,51081,58966,13399,40728,39815
BIP_Kopf,2017,54173,v,39786,68209,52081,59908,14244,41444,40957
BIP_Kopf,2018,55217,v,40804,68873,52750,61348,15134,41764,41966
BIP_Kopf,2019,55770,v,41912,71025,53402,62471,15978,41654,42759
BIP_Kopf,2020,51855,v,40130,71817,51457,60159,16297,40045,42397
BIP_Kopf,2021,53817,v,42756,74648,54218,63636,17658,41259,44300
BIP_Kopf,2022,55867,v,44262,77122,55421,64623,18188,41838,45560
BV_MW,2000,30.463,v,28.842,17.216,26.569,33.132,,,16.191
BV_MW,2001,30.463,v,28.842,17.216,26.569,33.132,,,16.191
BV_MW,2002,30.463,v,28.842,17.216,26.569,33.132,,,16.191
BV_MW,2003,37.599,v,28.603,17.772,28.162,32.358,,28.735,21.411
BV_MW,2004,37.599,v,28.603,17.772,28.162,32.358,,28.735,21.411
BV_MW,2005,37.599,v,28.603,17.772,28.162,32.358,,28.735,21.411
BV_MW,2006,29.685,v,26.005,16.659,24.09,32.358,,23.285,17.222
BV_MW,2007,29.685,v,26.005,16.659,24.09,32.358,,23.285,17.222
BV_MW,2008,29.685,v,26.005,16.659,24.09,32.358,,23.285,17.222
BV_MW,2009,32.349,v,26.638,17.925,26.25,29.625,,24.341,21.436
BV_MW,2010,32.349,v,26.638,17.925,26.25,29.625,,24.341,21.436
BV_MW,2011,32.349,v,26.638,17.925,26.25,29.625,,24.341,21.436
BV_MW,2012,28.653,v,26.508,16.718,24.894,22.94,,22.926,20.272
BV_MW,2013,28.653,v,26.508,16.718,24.894,22.94,,22.926,20.272
BV_MW,2014,28.653,v,26.508,16.718,24.894,22.94,,22.926,20.272
BV_MW,2015,29.833,v,26.507,16.15,25.997,18.901,,25.644,26.798
BV_MW,2016,29.833,v,26.507,16.15,25.997,18.901,,25.644,26.798
BV_MW,2017,29.833,v,26.507,16.15,25.997,18.901,,25.644,26.798
BV_MW,2018,26.547,v,24.964,17.52,25.617,24.191,,22.788,22.694
BV_MW,2019,26.547,v,24.964,17.52,25.617,24.191,,22.788,22.694
BV_MW,2020,26.547,v,24.964,17.52,25.617,24.191,,22.788,22.694
BV_MW,2021,26.547,v,24.964,17.52,25.617,24.191,,22.788,22.694
BV_MW,2022,31.515,v,26.865,18.687,28.376,24.433,,24.348,26.109
BV_MW,2023,31.515,v,26.865,18.687,28.376,24.433,,24.348,26.109
B_XFA,2002,29.904,v,10.127,34.69,9.2134,,3.0716,0.49217,0.50164
B_XFA,2003,28.105,v,11.055,30.773,9.1941,,2.615,0.37408,0.47852
B_XFA,2004,26.305,v,10.412,25.908,9.5428,,1.5076,0.41167,0.54515
B_XFA,2005,25.118,v,10.135,26.52,10.937,,1.0058,0.4326,0.8608
B_XFA,2006,23.931,v,10.061,24.77,11.007,,1.9604,0.39662,0.33554
B_XFA,2007,23.34,v,11.448,28.738,10.615,,1.5466,0.36182,0.22833
B_XFA,2008,22.844,v,11.262,27.158,10.694,5.3843,1.4247,0.44514,0.24761
B_XFA,2009,22.348,v,11.408,26.314,10.835,4.1046,1.6171,0.51592,0.17307
B_XFA,2010,22.1,v,11.352,32.123,10.876,5.2495,1.5976,0.54645,0.15201
B_XFA,2011,21.852,v,11.727,33.725,10.223,5.2844,1.5913,0.57088,0.12612
B_XFA,2012,21.29,v,12.524,37.412,10.382,5.5719,1.1317,0.53502,0.27298
B_XFA,2013,20.729,v,13.439,42.56,9.8784,6.0004,1.039,0.61127,0.22869
B_XFA,2014,20.667,v,14.369,42.203,12.174,6.7544,0.9205,0.52891,0.56709
B_XFA,2015,20.605,v,14.782,46.8,11.988,6.4599,0.86919,0.5507,0.75095
B_XFA,2016,20.64,v,12.776,40.872,10.735,7.46,0.76408,0.88857,0.99665
B_XFA,2017,20.676,v,13.381,39.895,10.007,9.1562,0.75097,0.78088,1.4285
B_XFA,2018,20.822,v,13.287,38.739,10.945,9.3151,0.39378,0.72151,2.2404
B_XFA,2019,20.968,v,13.29,42.028,11.582,9.241,0.071723,0.68771,1.8049
B_XFA,2020,21.277,v,14.284,43.454,11.065,8.5131,0.42686,0.63522,0.10486
B_XFA,2021,21.586,v,14.976,42.447,10.932,8.4641,0.22102,0.74021,0.18877
Betr_Verhältnis_Primar,2013,11.9,v,13.84,9.5,12.867,,,,
Betr_Verhältnis_Primar,2014,12,v,13.89,9.5,13.44,,,,
Betr_Verhältnis_Primar,2015,11.8,v,13.956,10.067,13.61,,,,
Betr_Verhältnis_Primar,2016,11.6,v,13.815,10.137,13.6,,,,
Betr_Verhältnis_Primar,2017,11.3,v,13.65,9.5333,13.62,,,,
Betr_Verhältnis_Primar,2018,11.5,v,13.366,9.2667,13.66,,,,
Betr_Verhältnis_Primar,2019,12,v,13.305,9.1,13.5,,,,
Betr_Verhältnis_Primar,2020,12.2,v,13.158,9.4667,13.42,,,,
Betr_Verhältnis_Primar,2021,12,v,12.956,9,13.32,,,,
Betr_Verhältnis_früh,2002,18.229,v,14.119,5.8026,11.562,15.5,,18.136,21.678
Betr_Verhältnis_früh,2003,17.648,v,13.576,7.2524,11.542,15.497,,17.96,20.993
Betr_Verhältnis_früh,2004,17.422,v,13.62,7.8451,11.613,14.49,,17.66,20.82
Betr_Verhältnis_früh,2005,16.951,v,13.507,7.8043,11.761,14.548,,17.37,20.224
Betr_Verhältnis_früh,2006,16.779,v,13.354,7.6572,11.437,13.75,,17.045,19.62
Betr_Verhältnis_früh,2007,16.432,v,13.384,7.5574,11.491,13.791,,16.798,18.695
Betr_Verhältnis_früh,2008,16.312,v,12.818,6.5039,9.9093,13.371,,16.534,17.944
Betr_Verhältnis_früh,2009,15.218,v,12.751,6.2081,9.6968,13.175,,16.324,17.466
Betr_Verhältnis_früh,2010,14.732,v,12.839,6.5281,9.8859,14.637,,15.896,17.06
Betr_Verhältnis_früh,2011,14.014,v,12.795,6.4209,11.174,13.11,,15.61,16.275
Betr_Verhältnis_früh,2012,13.948,v,12.919,6.3969,11.338,12.266,,15.467,16.037
Betr_Verhältnis_früh,2013,13.715,v,13.717,6.5663,11.47,12.061,,15.408,14.696
Betr_Verhältnis_früh,2014,13.887,v,13.343,5.9547,11.469,12.183,,15.111,13.632
Betr_Verhältnis_früh,2015,13.497,v,13.177,5.9957,11.582,12.244,,14.791,13.361
Betr_Verhältnis_früh,2016,13.281,v,12.579,5.9803,11.612,12.896,,14.556,13.251
Betr_Verhältnis_früh,2017,13.794,v,12.998,5.971,11.444,12.978,,14.515,13.03
Betr_Verhältnis_früh,2018,13.625,v,12.308,5.9443,11.365,12.285,,14.044,12.719
Betr_Verhältnis_früh,2019,13.012,v,12.769,5.6367,12.715,12.355,,13.614,12.463
Betr_Verhältnis_früh,2020,13.004,v,12.475,5.9067,12.529,11.966,,13.214,12.194
Betr_Verhältnis_früh,2021,13.723,v,12.71,5.135,12.347,12.92,,12.712,12.944
Betreuung_frühkindlich_pct,2000,84.6,v,82.6,100,86.62,,,,
Betreuung_frühkindlich_pct,2001,86,v,83.512,100,87.9,,,,
Betreuung_frühkindlich_pct,2002,86.9,v,83.892,100,88.84,,,,
Betreuung_frühkindlich_pct,2003,88,v,83.159,100,84.58,,,,
Betreuung_frühkindlich_pct,2004,87.6,v,84.148,100,86,,,,
Betreuung_frühkindlich_pct,2005,87.5,v,84.604,100,85,,,,
Betreuung_frühkindlich_pct,2006,88.1,v,85.304,99.967,85.1,,,,
Betreuung_frühkindlich_pct,2007,88.8,v,87.241,99.9,91.02,,,,
Betreuung_frühkindlich_pct,2008,90.3,v,88.026,99.75,91.26,,,,
Betreuung_frühkindlich_pct,2009,91.3,v,88.2,99.767,91.46,,,,
Betreuung_frühkindlich_pct,2010,92.1,v,89.704,99.867,93,,,,
Betreuung_frühkindlich_pct,2011,94.3,v,90.289,99.867,92.98,,,,
Betreuung_frühkindlich_pct,2012,93.8,v,90.696,99.867,93.34,,,,
Betreuung_frühkindlich_pct,2013,93.9,v,91.319,99.933,95.18,,,,
Betreuung_frühkindlich_pct,2014,94,v,91.189,99.025,94.72,,,,
Betreuung_frühkindlich_pct,2015,94.8,v,92.004,99.5,94.6,,,,
Betreuung_frühkindlich_pct,2016,94.9,v,92.411,99.033,95.4,,,,
Betreuung_frühkindlich_pct,2017,95.6,v,92.952,99.8,95.68,,,,
Betreuung_frühkindlich_pct,2018,96,v,93.063,100,96.08,,,,
Betreuung_frühkindlich_pct,2019,96,v,93.3,100,96.3,,,,
Betreuung_frühkindlich_pct,2020,95.8,v,93.285,100,96.68,,,,
Betreuung_frühkindlich_pct,2021,94.7,v,93.137,100,96.42,,,,
Betreuungsverh_Univ,2013,16.9,v,15.424,10.467,12.4,,,,
Betreuungsverh_Univ,2014,16.7,v,16.87,10.333,12.867,,,,
Betreuungsverh_Univ,2015,16.5,v,16.331,9.6,14.55,,,,
Betreuungsverh_Univ,2016,16.6,v,15.927,9.0667,14.275,,,,
Betreuungsverh_Univ,2017,16.2,v,15.71,8.7333,14,,,,
Betreuungsverh_Univ,2018,15.8,v,15.325,7.5,13.875,,,,
Betreuungsverh_Univ,2019,15.3,v,15.471,7.6333,13.75,,,,
Betreuungsverh_Univ,2020,16.2,v,15.91,7.4333,15.18,,,,
Betreuungsverh_Univ,2021,15.7,v,15.904,7.6333,14.86,,,,
Better_Life,2013,7.8,v,7.0992,8.0189,7.8733,,,,
Better_Life,2014,7.8405,v,7.1435,8.0073,7.8577,,,,
Better_Life,2015,7.881,v,7.1878,8.0292,7.842,,,5.78,5.7
Better_Life,2016,7.9215,v,7.232,8.0798,7.8264,,,5.78,5.7
Better_Life,2017,7.9619,v,7.2763,8.0793,7.8108,,,5.78,5.7
Better_Life,2018,8.0024,v,7.3206,8.1075,7.7952,,,5.78,5.8
Better_Life,2019,8.0016,v,7.297,8.05,7.7168,,,5.83,5.9
Better_Life,2020,8.0008,v,7.2735,7.9937,7.6384,,,5.74,6
Better_Life,2021,8,v,7.25,8.2477,7.56,,,5.76,6.1
Big_Data,2020,7,v,12.367,26.633,20.74,,,,
Breitband_pct,2020,40.125,v,48.179,70.822,64.276,,,,
Breitband_pct,2021,40.383,v,51.838,74.459,69.789,,,,
Breitband_pct,2022,39.277,v,56.087,79.577,74.134,,,,
Breitband_pct,2023,45.815,v,58.893,82.388,74.582,,,,
Circular_Rate,2010,6.8,v,7.7593,20.9,13,,,,
Circular_Rate,2011,6.9,v,7.8333,19.8,13.08,,,,
Circular_Rate,2012,7.9,v,8.3556,20.967,14.08,,,,
Circular_Rate,2013,9.2,v,8.3148,20.467,13.4,,,,
Circular_Rate,2014,10,v,8.163,20.733,13.08,,,,
Circular_Rate,2015,11.2,v,8.1333,21.167,12.94,,,,
Circular_Rate,2016,12,v,8.5333,22.167,13.18,,,,
Circular_Rate,2017,12.1,v,8.6889,21.533,12.98,,,,
Circular_Rate,2018,11.9,v,8.8333,22.033,13.12,,,,
Circular_Rate,2019,11.6,v,9.1222,21.7,12.96,,,,
Circular_Rate,2020,11.5,v,9.5444,23.6,13.82,,,,
Circular_Rate,2021,12.8,v,9.2815,23.733,13.6,,,,
Cloud_Dienste,2014,11.7,v,18.011,43.433,35.36,,,,
Cloud_Dienste,2015,14.35,v,20.091,44.967,37.92,,,,
Cloud_Dienste,2016,17,v,21.796,48.9,41.94,,,,
Cloud_Dienste,2017,21,v,26.298,56.267,49.95,,,,
Cloud_Dienste,2018,23.3,v,28.522,59.367,53.3,,,,
Cloud_Dienste,2019,30.7,v,33.344,65,58.42,,,,
Cloud_Dienste,2020,38.1,v,38.167,70.633,63.54,,,,
Cloud_Dienste,2021,40.4,v,42.719,71.867,66.68,,,,
Cloud_Dienste,2022,43.45,v,44.711,72.65,66.57,,,,
Cloud_Dienste,2023,46.5,v,46.704,73.733,66.46,,,,
EIS_Index,2016,123.6,v,91.008,140.24,129.87,,,,
EIS_Index,2017,123.96,v,91.5,141.56,130.77,,,,
EIS_Index,2018,122.97,v,91.69,142.04,131.59,,,,
EIS_Index,2019,124.31,v,94.578,142.7,135.08,,,,
EIS_Index,2020,124.01,v,95.61,143.86,135.62,,,,
EIS_Index,2021,124.58,v,98.62,147.92,139.75,,,,
EIS_Index,2022,129.4,v,101.08,148.98,142.19,,,,
EIS_Index,2023,130,v,102.26,148.85,143.36,,,,
EP_coll_dismiss,2013,2.1448,v,2.6309,1.6121,2.5041,1.3346,,2.0372,2.4375
EP_coll_dismiss,2014,2.1448,v,2.6222,1.2914,2.5208,1.3346,,2.0372,2.4375
EP_coll_dismiss,2015,2.1448,v,2.6222,1.2914,2.5208,1.3346,,2.0372,2.4375
EP_coll_dismiss,2016,2.1448,v,2.6366,1.2914,2.6339,1.3346,,2.0372,2.4375
EP_coll_dismiss,2017,2.1448,v,2.6241,1.2914,2.6339,1.3346,,2.0372,2.4375
EP_coll_dismiss,2018,2.1448,v,2.6016,1.2914,2.6339,1.3346,,2.0372,2.4375
EP_coll_dismiss,2019,2.1448,v,2.6112,1.2914,2.6559,1.3346,,2.0372,2.3125
EP_indiv_dismiss,2013,1.6629,v,2.3643,1.4941,2.2943,1.3014,,2.0984,2.3653
EP_indiv_dismiss,2014,1.6629,v,2.3649,1.2414,2.3347,1.3014,,2.0984,2.3653
EP_indiv_dismiss,2015,1.6629,v,2.3829,1.2414,2.4138,1.3014,,2.0984,2.3653
EP_indiv_dismiss,2016,1.6629,v,2.3751,1.2414,2.4357,1.3014,,2.0984,2.3653
EP_indiv_dismiss,2017,1.6629,v,2.3726,1.2414,2.4274,1.3014,,2.0984,2.3653
EP_indiv_dismiss,2018,1.6629,v,2.3543,1.2414,2.4274,1.3014,,2.0984,2.3653
EP_indiv_dismiss,2019,1.6629,v,2.3653,1.2414,2.4524,1.3014,,2.0984,2.3653
EP_temp_emp,2013,1.4722,v,1.9486,0.35916,1.5634,0.27079,,1.2654,2.2095
EP_temp_emp,2014,1.4722,v,1.9682,0.35916,1.5745,0.27079,,1.3487,2.2095
EP_temp_emp,2015,1.4722,v,1.9627,0.35916,1.5877,0.27079,,1.3487,2.2095
EP_temp_emp,2016,1.4722,v,1.977,0.35916,1.6294,0.27079,,1.3487,2.2095
EP_temp_emp,2017,1.4722,v,1.9784,0.35916,1.628,0.27079,,1.3487,2.2095
EP_temp_emp,2018,1.4722,v,1.9425,0.35916,1.628,0.27079,,1.3487,2.2095
EP_temp_emp,2019,1.4722,v,1.9816,0.37471,1.6259,0.27079,,1.3487,2.1887
ERC_grants,2009,2.0945,v,1.1915,3.0403,1.9508,,,,
ERC_grants,2010,2.3496,v,1.2585,4.576,2.3164,,,,
ERC_grants,2011,2.3043,v,1.4325,4.9698,2.8073,,,,
ERC_grants,2012,2.4501,v,1.473,5.7011,3.1213,,,,
ERC_grants,2013,2.4328,v,1.5853,6.1691,3.2735,,,,
ERC_grants,2014,3.1144,v,1.5084,6.0768,3.3907,,,,
ERC_grants,2015,3.696,v,1.6144,5.8035,3.5761,,,,
ERC_grants,2016,3.9345,v,1.6348,6.0406,3.7109,,,,
ERC_grants,2017,3.6815,v,1.6722,6.536,3.8229,,,,
ERC_grants,2018,2.9055,v,1.6802,6.5872,3.7208,,,,
ERC_grants,2019,3.2636,v,1.6617,6.3241,3.7076,,,,
ERC_grants,2020,3.7725,v,1.8591,6.5459,4.0963,,,,
ERC_grants,2021,4.422,v,2.0565,5.8361,4.5211,,,,
ERC_grants,2022,4.334,v,2.2103,6.4113,4.8473,,,,
Energieintensität,2000,4.8157,v,10.206,4.3516,6.5861,,,,
Energieintensität,2001,5.016,v,10.271,4.0474,6.6331,,,,
Energieintensität,2002,4.9633,v,9.9103,4.0692,6.6048,,,,
Energieintensität,2003,5.1765,v,9.8589,3.9068,6.7332,,,,
Energieintensität,2004,5.1056,v,9.4869,3.8697,6.5849,,,,
