var,iso2,Verh_IL,Verh_IL_old,Verh_EU,Verh_Top3,Verh_CH,Verh_CN,Verh_JP,Verh_KR,Verh_US,Verh_AT
B_C5,LT,112.78476,114.69158,118.51443,66.8983,145.30322,,286.42355,163.55737,348.48602,159.30048
B_C5,ES,91.761414,91.379929,93.456833,59.584949,115.73975,,197.50214,124.46072,133.87895,113.70458
B_C5,JP,53.507805,56.282993,57.413719,30.539907,60.879574,,100,62.743858,85.081085,87.75103
B_C5,MT,91.796425,90.114662,93.896416,57.797207,128.64496,,78.892075,31.506525,67.122238,108.26705
B_C5,AU,81.881615,96.697098,104.10575,12.013289,117.16525,,167.93164,67.065575,142.87807,220.38043
B_C5,IE,132.00473,127.88018,139.18925,77.961395,211.89354,,191.72276,120.15136,144.79408,177.92189
B_C5,IL,62.25029,66.78524,69.543793,26.184282,72.100296,,110.10326,43.971096,93.677055,105.50728
B_C5,LV,104.41366,103.57919,106.38807,68.011414,134.78806,,218.44016,140.08752,127.23344,129.73203
B_C5,CN,,,,,,,,,,
B_C5,CZ,88.396675,89.084572,92.230637,52.280731,121.53459,,179.92241,101.1206,244.99617,122.02576
B_C5,BG,145.36418,149.3564,158.98657,73.665352,215.17096,,622.08472,248.43721,529.27643,232.05664
B_C5,BE,77.34697,76.566528,78.211174,51.915291,96.796707,,149.59363,98.781723,71.258919,91.542877
B_C5,SI,178.65968,192.92838,203.1711,73.868797,242.53709,,685.59875,314.58826,1434.7698,341.1875
B_C5,EE,114.68804,111.63865,118.97272,71.666191,175.52547,,178.03046,116.45583,101.89905,148.64337
B_C5,DE,87.336105,86.362221,90.095169,55.414108,117.70942,,138.53485,86.970184,121.94801,109.20585
B_C5,KR,91.342361,98.477249,101.57633,43.435139,108.47446,,175.58519,100,213.04234,170.24327
B_C5,PT,98.197403,97.0513,99.247765,65.592804,123.67752,,183.28232,120.48267,95.488533,115.94031
B_C5,FR,95.654053,94.687698,98.222153,60.879303,126.45501,,161.56354,99.987152,135.39583,118.54159
B_C5,EL,268.05423,295.97949,314.64175,91.237213,374.25919,,1186.8319,517.073,2671.6365,567.79547
B_C5,US,57.308731,67.678055,72.86335,8.4080706,82.003654,,117.53493,46.939026,100,154.2437
B_C5,IS,113.24412,111.05776,115.39214,73.291832,156.37018,,198.19873,130.6412,87.741348,138.22691
B_C5,IT,83.608818,82.385658,83.672714,56.984821,103.4763,,141.12056,95.539352,55.407818,94.696121
B_C5,HU,75.343483,74.6521,76.79705,48.698925,100.85746,,133.85873,85.692963,97.711761,93.281105
B_C5,RO,131.17749,129.32739,135.19667,82.041023,182.93536,,228.41516,142.24071,164.46965,167.20781
B_C5,CL,92.786362,96.446877,97.391769,54.002907,99.9674,,176.7627,110.15267,115.35748,145.82745
B_C5,CR,27.93379,32.988071,35.515522,4.0983157,39.970749,,57.289631,22.879322,48.742641,75.182457
B_C5,NL,117.58015,122.88562,128.59254,59.658913,158.1658,,365.88538,185.23718,631.65344,194.04016
B_C5,LU,70.115814,70.095657,71.963676,45.702885,91.280182,,127.7487,79.915596,114.97334,87.971436
B_C5,AT,85.554176,84.053055,86.819717,56.921509,113.04265,,126.4057,84.914474,64.832466,100
B_C5,CH,79.737312,79.433037,81.69294,51.104542,100,,171.74448,107.91144,121.94579,100.15938
B_C5,NZ,63.175098,68.035263,69.630569,26.77969,71.033295,,127.70806,67.057304,97.12381,121.03441
B_C5,SK,86.306709,86.683372,88.900871,54.09824,112.12446,,178.31004,107.97934,188.96825,113.10655
B_C5,IN,,,,,,,,,,
B_C5,UK,95.090202,93.177582,96.524399,62.748573,125.29871,,147.60954,99.173302,70.726639,111.54019
B_C5,DK,114.71753,113.76115,120.13241,68.914993,164.32271,,214.43648,127.01791,221.68135,154.72127
B_C6,NL,132.72949,157.15941,188.28943,64.374428,150.10388,398.21597,70.546333,82.625084,90.317886,157.8679
B_C6,UK,122.61302,144.24774,158.61678,59.914379,137.18832,176.11292,63.179909,77.071709,64.125412,158.98985
B_C6,AU,37.001202,44.786194,60.978737,7.8694425,30.322067,148.41716,8.3603382,11.397332,17.1548,45.502319
B_C6,ES,59.552189,64.797363,72.802513,46.952362,74.12529,87.912331,47.854065,59.243061,46.391582,75.840065
B_C6,LU,72.312599,76.637062,111.11154,54.92321,86.49025,409.42438,52.6404,68.640518,80.449371,76.901413
B_C6,CZ,60.882542,69.871201,60.738338,46.691845,96.715233,59.336323,44.647812,52.581936,48.500355,71.104401
B_C6,EU27_2020,576.24603,725.49872,745.30444,88.34655,529.26056,249.80486,91.864029,147.94533,95.959251,716.45508
B_C6,PL,52.066051,56.885906,54.818718,45.023792,77.821373,50.223053,43.363926,52.846695,43.420887,63.812996
B_C6,SI,44.194981,46.582905,52.909531,44.737141,61.293873,112.01888,44.799686,50.989887,43.225075,58.465698
B_C6,CR,,,,,,,,,,
B_C6,PT,39.695805,42.997307,44.808365,36.728039,55.472248,63.5065,36.495998,42.571232,35.059731,50.957184
B_C6,US,629.45532,799.64307,822.48254,85.007759,585.73395,312.14606,91.114555,146.21762,100,797.87903
B_C6,IN,,,,,,,,,,
B_C6,JP,759.23682,960.57898,1001.9182,105.74248,700.96198,730.15247,100,171.48683,163.15115,877.25897
B_C6,CL,6.1281261,7.1796846,10.442954,1.6105291,4.9581966,36.540428,1.8996898,2.3432512,3.6294982,7.361537
B_C6,CH,103.10945,114.64708,169.48988,65.342354,100,511.88931,74.821739,89.000031,95.451553,126.36417
B_C6,LV,48.405937,51.762547,53.446774,49.607727,73.15464,100.25019,48.72089,52.444405,44.609352,67.511894
B_C6,DK,89.928047,94.711319,147.00589,81.000687,101.18716,421.513,117.73918,128.64909,103.24999,122.99406
B_C6,NZ,,,,,,,,,,
B_C6,HR,43.044319,44.369236,44.942112,49.292637,58.160149,44.777,46.82782,55.438541,40.97504,59.342026
B_C6,SE,97.429298,108.94561,146.25502,61.727188,108.02959,385.7095,59.088253,71.421089,79.267555,120.85429
B_C6,SK,38.696453,40.759605,40.828506,41.931671,53.487671,52.616215,39.867393,46.649742,36.343159,52.680355
B_C6,LT,52.247814,53.74416,64.997581,58.937851,72.563126,79.469887,71.019653,79.230614,55.347294,73.977348
B_C6,NO,,,,,,,,,,
B_C6,KR,327.65546,414.34174,426.67325,79.092331,366.99976,528.59827,82.460335,100,123.61624,383.02826
B_C6,EL,37.076729,38.156147,39.942852,42.886284,49.224659,41.189663,41.600342,50.300983,37.745255,50.843502
B_C6,HU,58.437984,64.537979,61.427032,50.060459,91.77533,63.178272,49.591293,59.538284,50.389732,70.541809
B_C6,IT,77.40126,87.043343,94.346359,52.352478,88.428268,105.41167,51.828857,65.808502,51.9561,95.868683
B_C6,FR,160.73267,190.71298,215.48212,65.999535,167.52538,245.33859,73.023201,92.834122,76.307457,201.28326
B_C6,MX,,,,,,,,,,
B_C6,MT,169.82658,226.03067,151.71877,73.994232,267.09689,102.3286,75.597588,70.193527,94.381653,172.63554
B_C6,CN,405.46823,519.63239,504.6669,80.895256,414.74432,100,87.452362,121.27296,85.250168,514.86841
B_C6,CY,43.693054,45.442871,51.250675,49.720108,59.701279,50.679634,56.751953,63.532276,45.715614,62.577343
B_C6,IL,,,,,,,,,,
B_C6,IS,29.05636,29.374929,69.401405,20.101938,21.624792,530.97668,26.826298,25.121618,45.235695,35.510536
B_C6,BE,82.582253,89.537857,123.35754,59.41346,95.070671,324.03864,65.203651,76.969795,73.699783,103.79698
B_C6,CO,,,,,,,,,,
B_C6,TR,,,,,,,,,,
B_C6,CA,74.660538,92.314049,116.56904,12.403887,62.01358,208.76819,12.625293,19.040365,26.090424,92.734779
B_C6,IE,83.414391,99.813187,91.798584,57.377666,117.85938,154.0983,57.497955,62.276482,63.157536,98.926384
B_C6,BG,51.363831,52.365055,56.593185,61.211853,73.099678,49.75568,63.316498,73.147842,52.199245,72.9505
B_C6,FI,102.59306,110.66438,158.27107,78.693542,115.73792,424.06451,86.948235,104.63589,103.54011,125.34916
B_C6,RO,39.468529,42.860588,39.60128,39.213421,57.394505,30.622601,36.822376,44.062355,35.19569,50.780186
B_C6,EE,75.028641,83.513557,83.992752,62.110912,113.26156,154.18948,59.16161,69.42202,65.819664,89.521782
B_C6,AT,89.100266,100.37436,132.66817,52.831715,102.91287,354.22787,56.726444,70.486336,77.27375,100
B_C6,DE,285.25266,348.17221,380.05447,88.933075,286.58646,369.90369,88.10936,117.77626,104.11906,352.0538
B_D1,IT,89.722679,94.306816,103.15943,62.526901,73.431984,240.75374,111.87852,110.3092,77.400352,91.837296
B_D1,SK,80.782494,83.79377,89.9832,57.534836,74.527435,182.38545,101.1503,100.75087,70.679718,83.669006
B_D1,SI,94.323952,98.617851,105.77671,65.69059,81.804665,231.88506,112.6191,111.34168,78.120697,93.048096
B_D1,TR,53.694477,56.963051,64.380646,36.318726,38.802589,181.42587,81.346558,80.021317,56.150848,51.678749
B_D1,RO,76.943047,78.880318,83.360146,52.826862,73.523773,179.99904,78.619766,72.00367,50.597649,79.929756
B_D1,CR,39.853745,40.480118,49.854176,28.701654,30.968132,120.88907,52.801785,48.358353,33.981865,39.067303
B_D1,CY,81.552299,84.930862,92.26944,57.499016,67.744751,174.21098,76.091667,69.688316,48.970631,80.480164
